Jenis_Rumah,Lokasi,Kamar_Tidur,Kamar_Mandi,Garasi,Luas_Tanah,Luas_Bangunan,Harga
Rumah,Tebet,2,1,1,60,30,300000000
Rumah,Tebet,2,1,1,65,30,300000000
Rumah,Pancoran,2,1,1,120,32,300000000
Rumah,Mampang Prapatan,2,1,1,60,36,300000000
Rumah,Tebet,2,1,1,72,36,300000000
Rumah,Setiabudi,2,1,1,84,36,300000000
Rumah,Pasar Minggu,2,1,1,120,36,300000000
Rumah,Pancoran,2,1,1,120,36,300000000
Rumah,Tebet,2,1,1,126,36,300000000
Rumah,Cilandak,2,1,1,91,38,300000000
Rumah,Tebet,2,1,1,60,40,300000000
Rumah,Tebet,2,1,1,72,45,300000000
Rumah,Pancoran,2,1,2,122,45,300000000
Rumah,Pancoran,2,1,1,122,45,300000000
Rumah,Tebet,2,2,1,55,60,300000000
Rumah,Mampang Prapatan,2,1,1,72,60,300000000
Rumah,Mampang Prapatan,2,2,1,72,60,300000000
Rumah,Pasar Minggu,2,1,1,120,60,300000000
Rumah,Tebet,2,1,1,66,66,300000000
Rumah,Tebet,2,1,1,65,70,300000000
Rumah,Mampang Prapatan,2,1,1,72,72,300000000
Rumah,Pesanggrahan,2,1,1,72,72,300000000
Rumah,Pasar Minggu,2,1,1,72,72,300000000
Rumah,Mampang Prapatan,2,1,1,98,72,300000000
Rumah,Pasar Minggu,3,1,1,121,72,300000000
Rumah,Pancoran,3,1,1,74,74,300000000
Rumah,Pasar Minggu,2,2,1,96,80,300000000
Rumah,Setiabudi,2,1,1,82,82,300000000
Rumah,Tebet,4,2,1,88,88,300000000
Rumah,Pesanggrahan,2,1,1,89,89,300000000
Rumah,Setiabudi,3,2,1,60,100,300000000
Rumah,Kebayoran Lama,4,1,1,110,110,300000000
Rumah,Pesanggrahan,3,1,1,112,112,300000000
Rumah,Pancoran,2,1,1,32,120,300000000
Rumah,Tebet,2,1,1,72,36,310000000
Rumah,Tebet,2,1,1,73,45,310000000
Rumah,Mampang Prapatan,2,1,1,76,76,310000000
Rumah,Setiabudi,2,1,1,66,36,315000000
Rumah,Setiabudi,2,1,1,66,39,315000000
Rumah,Setiabudi,2,1,1,70,45,315000000
Rumah,Pancoran,2,1,1,72,30,320000000
Rumah,Tebet,2,1,1,72,30,320000000
Rumah,Pancoran,2,1,1,120,36,320000000
Rumah,Tebet,3,2,1,60,44,320000000
Rumah,Cilandak,2,1,1,67,50,320000000
Rumah,Tebet,2,1,1,65,65,320000000
Rumah,Setiabudi,2,1,1,84,84,320000000
Rumah,Tebet,3,1,1,100,90,320000000
Rumah,Pasar Minggu,2,1,1,60,106,320000000
